Region,year,school_fragility_score,school_count,schools_per_1000_children,school_age_pop
Bale,2015,0.5650418523999827,39.0,12.322179160977395,3165.0245861955573
Banwa,2015,1.0,0.0,0.0,3792.8404001388426
Mouhoun,2015,0.0,127.0,29.794199471687644,4262.574670639617
Bougouriba,2015,0.6872647892652484,16.0,8.859655389564837,1805.9393166516693
Ioba,2015,0.609656319852206,28.0,11.058270290316505,2532.0415639070616
Noumbiel,2015,0.5660158543811372,14.0,12.29458609948135,1138.7125916008342
Poni,2015,0.7588883182028042,29.0,6.830591304710394,4245.606083912754
Gourma,2015,0.7187061004003164,42.0,7.9689364295912135,5270.464932313997
Kompienga,2015,0.8969034743095312,6.0,2.920680684893128,2054.3156364317
Houet,2015,0.42640928793170574,273.0,16.249580696848266,16800.433506136593
Kenedougou,2015,0.5008615406453341,71.0,14.14038007159791,5021.081444805661
Tuy,2015,0.9193183796109249,9.0,2.2856759596704492,3937.566023706014
Kadiogo,2015,0.0,1267.0,29.015275224366608,43666.65455359843
Bam,2015,0.2711700025778161,85.0,20.64744356597146,4116.732404591065
Namentenga,2015,0.3260375586019635,95.0,19.093069060780604,4975.627527328286
Sandbondtenga,2015,0.22435905113530652,200.0,21.973577893039746,9101.840445535778
Oudalan,2015,0.39696225590708034,56.0,17.083802578582386,3277.958741469306
Seno,2015,0.9124533481450656,10.0,2.4801593786725333,4031.998945709829
Yagha,2015,0.9298889704090061,5.0,1.986215622233307,2517.3500520441908
Boulgou,2015,0.45128712196345777,132.0,15.54480224915677,8491.58438198597
Koulpelogo,2015,0.8407068599013986,19.0,4.512706848325654,4210.333318471497
Kourittenga,2015,0.3109172651101376,99.0,19.52142053873515,5071.352251418405
Boulkiemde,2015,0.0,534.0,77.33367456220402,6905.1419452527425
Sanguie,2015,0.07354246537263354,109.0,26.24614756547527,4152.99044281001
Sissili,2015,0.5483172733190569,44.0,12.795979366731016,3438.580099183191
Ziro,2015,0.13987131487088278,81.0,24.367079495205374,3324.1570872676016
Bazega,2015,0.0,356.0,122.70084167203547,2901.365590886043
Nahouri,2015,0.32573685903753324,52.0,19.101587751433904,2722.286789803455
Zoundweogo,2015,0.7971195994162226,22.0,5.747515382889377,3827.7409514196397
Bassitenga,2015,0.2770863379838947,71.0,20.479836302485563,3466.824585476935
Ganzourgou,2015,0.24388045828838623,101.0,21.420544738604303,4715.09950995676
Kourweogo,2015,0.0,160.0,86.07935729758134,1858.749937535787
Gnagna,2015,0.7744709417390404,42.0,6.38914221341038,6573.65239293701
Komandjari,2015,0.6727800941568085,14.0,9.270000635890604,1510.2480085919615
Djelgodji,2015,0.4420732564894927,56.0,15.80582713571608,3542.9971186675853
Karo-Peli,2015,0.35192209139127983,34.0,18.359771265836304,1851.874923042581
Kossin,2015,0.0,155.0,40.69380908389217,3808.9331888410916
Nayala,2015,0.26474334256514687,45.0,20.82950810831824,2160.396672162858
Sourou,2015,0.8165590534056634,15.0,5.196803926692583,2886.389444665174
Comoe,2015,0.5181915297914648,133.0,13.649428856418496,9743.997452132087
Leraba,2015,0.0,56.0,28.415052998492452,1970.786399834308
Dyamongou,2015,0.012069181828144426,52.0,27.987659519276704,1857.9617193136362
Gobnangou,2015,0.0,255.0,60.283759426917165,4229.994984124041
Loroum,2015,0.0,205.0,95.85856372193975,2138.567406399397
Passore,2015,0.7469295939944673,31.0,7.169376870735363,4323.9462172143185
Yatenga,2015,0.0,494.0,65.38540368835075,7555.203029021177
Zondoma,2015,0.37655985718014173,46.0,17.66179384926947,2604.491955493109
Bale,2016,0.5650418523999826,39.0,11.971988615435029,3257.604166923345
Banwa,2016,1.0,0.0,0.0,3903.784111459059
Mouhoun,2016,0.0,127.0,28.947462313374746,4387.258496967505
Bougouriba,2016,0.6872647892652483,16.0,8.607868143684298,1858.7645318126072
Ioba,2016,0.609656319852206,28.0,10.743999441375715,2606.1058689346637
Noumbiel,2016,0.5660158543811371,14.0,11.945179735789633,1172.020874500013
Poni,2016,0.7588883182028043,29.0,6.636469107319477,4369.793565077459
Gourma,2016,0.7187061004003164,42.0,7.742462998291937,5424.6303804442605
Kompienga,2016,0.8969034743095312,6.0,2.8376763113131025,2114.4060638909054
Houet,2016,0.4264092879317056,273.0,15.787775243874101,17291.860048864593
Kenedougou,2016,0.5008615406453341,71.0,13.738517109961137,5167.9522201505515
Tuy,2016,0.9193183796109249,9.0,2.220718122197603,4052.74307893416
