year,fragility_scalar,Children out of school (% of primar,"Primary completion rate, total (% o",Survival rate to the last grade of ,"Total net enrolment rate, primary, "
2000,0.2189,65.05,23.82,61.34,64.05
2001,0.2598,63.94,25.18,58.33,36.06
2002,0.2478,64.78,25.97,66.56,35.22
2003,0.2314,62.36,27.53,69.22,37.64
2004,0.1779,60.15,28.9,72.96,64.62
2005,0.1559,55.31,30.48,77.75,64.95
2006,0.1908,51.73,31.85,49.72,65.16
2007,0.1758,46.49,33.97,47.05,67.64
2008,0.1109,40.54,37.68,79.99,61.14
2009,0.1185,37.61,42.54,64.38,62.06
2010,0.1189,41.03,45.96,64.38,61.88
2011,0.0992,36.48,45.96,68.97,63.52
2012,0.0749,35.58,55.9,69.07,64.42
2013,0.0605,34.69,60.85,69.5,65.31
2014,0.0651,33.76,59.6,66.24,66.24
2015,0.0548,32.5,60.34,68.81,67.5
2016,0.0413,27.23,60.13,65.64,72.77
2017,0.03,26.4,61.59,68.84,73.6
2018,0.0419,24.45,62.61,55.92,75.55
2019,0.0513,25.8,61.61,54.45,74.2
2020,0.0482,28.52,61.87,62.06,71.48
2021,0.0724,29.06,63.74,46.03,70.94
2022,0.1199,32.25,58.29,31.03,67.75
2023,0.143,41.97,51.69,31.03,75.68
2024,0.1406,34.29,51.99,31.03,65.71
