iso3,year,region,indicator,value,source
BFA,1971,National,"Adjusted net enrollment rate, primary (% of primary school age children)",10.05,HDX-WB
BFA,1972,National,"Adjusted net enrollment rate, primary (% of primary school age children)",10.49,HDX-WB
BFA,1977,National,"Adjusted net enrollment rate, primary (% of primary school age children)",12.56,HDX-WB
BFA,1978,National,"Adjusted net enrollment rate, primary (% of primary school age children)",13.03,HDX-WB
BFA,1979,National,"Adjusted net enrollment rate, primary (% of primary school age children)",13.52,HDX-WB
BFA,1980,National,"Adjusted net enrollment rate, primary (% of primary school age children)",14.31,HDX-WB
BFA,1981,National,"Adjusted net enrollment rate, primary (% of primary school age children)",15.32,HDX-WB
BFA,1982,National,"Adjusted net enrollment rate, primary (% of primary school age children)",16.81,HDX-WB
BFA,1983,National,"Adjusted net enrollment rate, primary (% of primary school age children)",18.08,HDX-WB
BFA,1984,National,"Adjusted net enrollment rate, primary (% of primary school age children)",19.43,HDX-WB
BFA,1985,National,"Adjusted net enrollment rate, primary (% of primary school age children)",21.48,HDX-WB
BFA,1986,National,"Adjusted net enrollment rate, primary (% of primary school age children)",23.49,HDX-WB
BFA,1987,National,"Adjusted net enrollment rate, primary (% of primary school age children)",25.14,HDX-WB
BFA,1988,National,"Adjusted net enrollment rate, primary (% of primary school age children)",25.62,HDX-WB
BFA,1989,National,"Adjusted net enrollment rate, primary (% of primary school age children)",25.91,HDX-WB
BFA,1991,National,"Adjusted net enrollment rate, primary (% of primary school age children)",27.18,HDX-WB
BFA,1992,National,"Adjusted net enrollment rate, primary (% of primary school age children)",27.7,HDX-WB
BFA,1993,National,"Adjusted net enrollment rate, primary (% of primary school age children)",28.69,HDX-WB
BFA,1994,National,"Adjusted net enrollment rate, primary (% of primary school age children)",29.91,HDX-WB
BFA,1995,National,"Adjusted net enrollment rate, primary (% of primary school age children)",31.54,HDX-WB
BFA,1998,National,"Adjusted net enrollment rate, primary (% of primary school age children)",34.98,HDX-WB
BFA,1999,National,"Adjusted net enrollment rate, primary (% of primary school age children)",35.51,HDX-WB
BFA,2000,National,"Adjusted net enrollment rate, primary (% of primary school age children)",36.75,HDX-WB
BFA,2001,National,"Adjusted net enrollment rate, primary (% of primary school age children)",37.77,HDX-WB
BFA,2002,National,"Adjusted net enrollment rate, primary (% of primary school age children)",36.72,HDX-WB
BFA,2003,National,"Adjusted net enrollment rate, primary (% of primary school age children)",39.05,HDX-WB
BFA,2004,National,"Adjusted net enrollment rate, primary (% of primary school age children)",41.15,HDX-WB
BFA,2005,National,"Adjusted net enrollment rate, primary (% of primary school age children)",45.97,HDX-WB
BFA,2006,National,"Adjusted net enrollment rate, primary (% of primary school age children)",49.62,HDX-WB
BFA,2007,National,"Adjusted net enrollment rate, primary (% of primary school age children)",54.95,HDX-WB
BFA,2008,National,"Adjusted net enrollment rate, primary (% of primary school age children)",61.0,HDX-WB
BFA,2009,National,"Adjusted net enrollment rate, primary (% of primary school age children)",63.89,HDX-WB
BFA,2011,National,"Adjusted net enrollment rate, primary (% of primary school age children)",64.89,HDX-WB
BFA,2012,National,"Adjusted net enrollment rate, primary (% of primary school age children)",66.07,HDX-WB
BFA,2013,National,"Adjusted net enrollment rate, primary (% of primary school age children)",66.97,HDX-WB
BFA,2014,National,"Adjusted net enrollment rate, primary (% of primary school age children)",68.3,HDX-WB
BFA,2015,National,"Adjusted net enrollment rate, primary (% of primary school age children)",69.96,HDX-WB
BFA,2016,National,"Adjusted net enrollment rate, primary (% of primary school age children)",75.85,HDX-WB
BFA,2017,National,"Adjusted net enrollment rate, primary (% of primary school age children)",77.01,HDX-WB
BFA,2018,National,"Adjusted net enrollment rate, primary (% of primary school age children)",79.34,HDX-WB
BFA,1971,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",7.43,HDX-WB
BFA,1972,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",7.89,HDX-WB
BFA,1977,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",9.34,HDX-WB
BFA,1978,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",9.67,HDX-WB
BFA,1979,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",10.09,HDX-WB
BFA,1980,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",10.8,HDX-WB
BFA,1981,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",11.49,HDX-WB
BFA,1982,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",12.51,HDX-WB
BFA,1983,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",13.65,HDX-WB
BFA,1984,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",14.51,HDX-WB
BFA,1985,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",16.02,HDX-WB
BFA,1986,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",17.67,HDX-WB
BFA,1987,National,"Adjusted net enrollment rate, primary, female (% of primary school age children)",18.79,HDX-WB
