name,amenity,country,iso3,source,latitude,longitude,operator,addr_city,building
École Nazemsé,school,Burkina Faso,BFA,OSM,12.32337,-1.52261,,,
Accart-Ville Sud,school,Burkina Faso,BFA,OSM,11.18194,-4.3115,,,
College de Tounouma,school,Burkina Faso,BFA,OSM,11.17983,-4.28355,,,
Lycée technique Jean-paul II,school,Burkina Faso,BFA,OSM,12.36211,-1.48298,,,
ISIG INTERNATIONAL Annexe,university,Burkina Faso,BFA,OSM,12.36922,-1.49794,,,
Ecole,school,Burkina Faso,BFA,OSM,12.81289,-1.63216,,,
Ecole,school,Burkina Faso,BFA,OSM,12.78536,-1.63328,,,
Ecole Nationale des Eaux et Forêts,college,Burkina Faso,BFA,OSM,11.22373,-4.43269,,,
Ecole primaire française Saint-Exupéry,school,Burkina Faso,BFA,OSM,12.37042,-1.51785,,,
Gueswende Bala A et B,school,Burkina Faso,BFA,OSM,12.31915,-1.52224,,,
Lycée Technique de Ouagadougou,school,Burkina Faso,BFA,OSM,12.3819,-1.49768,,,
ENAM,school,Burkina Faso,BFA,OSM,12.37883,-1.50604,,,
Lycée privé Daroul (education islamique),school,Burkina Faso,BFA,OSM,12.36332,-1.55348,,,
Centre de Formation Professionnelle de Référence de Ziniaré,school,Burkina Faso,BFA,OSM,12.57542,-1.3316,,,
Ecole du Village-Opéra,school,Burkina Faso,BFA,OSM,12.54381,-1.28099,,,
Université Nazi Boni,university,Burkina Faso,BFA,OSM,11.20926,-4.41761,,,
École primaire de Yikiemdin,school,Burkina Faso,BFA,OSM,12.51617,-2.16753,,,
École primaire de Rakalo,school,Burkina Faso,BFA,OSM,12.45932,-2.21309,,,
École primaire de Pamanogo,school,Burkina Faso,BFA,OSM,12.47159,-2.15873,,,
École primaire de Nabzinigma,school,Burkina Faso,BFA,OSM,12.62542,-2.00936,,,
École primaire de Sibou,school,Burkina Faso,BFA,OSM,12.693,-2.04652,,,
École primaire de Gouroumbila,school,Burkina Faso,BFA,OSM,12.69332,-2.21974,,,
École primaire de Zimidin Soaw,school,Burkina Faso,BFA,OSM,12.50017,-2.19114,,,
École primaire de Yargo,school,Burkina Faso,BFA,OSM,12.51821,-2.2085,,,
École primaire de Bokin,school,Burkina Faso,BFA,OSM,12.53957,-2.21932,,,
Institut technique et commercial Akpode (ITCA),college,Burkina Faso,BFA,OSM,12.37953,-1.48762,,,
École primaire de Soaw,school,Burkina Faso,BFA,OSM,12.51995,-2.18346,,,
École primaire de Bagandé,school,Burkina Faso,BFA,OSM,12.5702,-2.06391,,,
École primaire Goala B,school,Burkina Faso,BFA,OSM,12.53636,-2.10388,,,
École primaire de Somassi,school,Burkina Faso,BFA,OSM,12.58452,-2.08934,,,
École primaire de Mara Pella,school,Burkina Faso,BFA,OSM,12.53915,-2.07989,,,
École primaire de Daboala,school,Burkina Faso,BFA,OSM,12.63099,-2.03118,,,
École primaire de Séguédin Soaw,school,Burkina Faso,BFA,OSM,12.48948,-2.2405,,,
École Primaire Sainte-Anne,school,Burkina Faso,BFA,OSM,12.69543,-2.19598,,,
Lycée professionnel agricole,school,Burkina Faso,BFA,OSM,12.69977,-2.19944,,,
Université Saint Thomas d’Aquin (USTA),university,Burkina Faso,BFA,OSM,12.38411,-1.41844,,,
Ecole du château,school,Burkina Faso,BFA,OSM,12.35448,-1.482,,,
Ecole du château,school,Burkina Faso,BFA,OSM,12.35477,-1.48175,,,
Ecole du château,school,Burkina Faso,BFA,OSM,12.35492,-1.48162,,,
Schule B,school,Burkina Faso,BFA,OSM,12.02391,-3.61582,,,
Lycée Promotion,college,Burkina Faso,BFA,OSM,11.16843,-4.27089,,,
Ecole Primaire Prive EBEN EZER,school,Burkina Faso,BFA,OSM,11.18059,-4.33694,,,
École primaire Sikasso sira A et B,school,Burkina Faso,BFA,OSM,11.16981,-4.30752,,,
UPB ex Centre de calcul,university,Burkina Faso,BFA,OSM,11.16461,-4.31496,,,
Ecoles Primaires EST de KOUDOUGOU,school,Burkina Faso,BFA,OSM,12.25439,-2.36115,,,
CEG de Dacisse,school,Burkina Faso,BFA,OSM,12.65949,-2.28388,,,
2iE,university,Burkina Faso,BFA,OSM,12.46213,-1.55142,,,
Institut de formation des personnels de l'éducation du Plateau Central,college,Burkina Faso,BFA,OSM,12.47945,-1.42519,,,
Lycee Prive de la Nativite,school,Burkina Faso,BFA,OSM,11.17843,-4.27489,,,
ABBEF,kindergarten,Burkina Faso,BFA,OSM,11.18812,-4.31841,,,
Lycee Privé Tarwende,school,Burkina Faso,BFA,OSM,12.33677,-1.5406,,,
Ecole,school,Burkina Faso,BFA,OSM,14.48122,-0.03784,,,
Ecole,school,Burkina Faso,BFA,OSM,14.46262,0.00617,,,
Lycée BOGODOGO de Ouagadougou,school,Burkina Faso,BFA,OSM,12.381,-1.5065,,,
Centre d'Etudes Economiques et Sociales de l'Afrique de l'Ouest (CESAO),school,Burkina Faso,BFA,OSM,11.15921,-4.28642,,,
Lycée Mixe d'accard-Ville,school,Burkina Faso,BFA,OSM,11.18739,-4.31539,,,
Lycée Mixe d'accard-Ville,school,Burkina Faso,BFA,OSM,11.18675,-4.31555,,,
Groupe Scolaire Sainte-Collete - annexe professionnelle,school,Burkina Faso,BFA,OSM,12.36841,-1.46305,,,
Groupe Scolaire Camara Laye,school,Burkina Faso,BFA,OSM,12.35005,-1.53676,,,
Collège Privé RAMODG-WENDE,school,Burkina Faso,BFA,OSM,12.32942,-1.52494,,,
Ecole Patte D'Oie A et B,school,Burkina Faso,BFA,OSM,12.32903,-1.5173,,,
Ecole de formation des enseignants du Primaire,school,Burkina Faso,BFA,OSM,10.31573,-3.15505,,,
Ecole,school,Burkina Faso,BFA,OSM,12.77878,-1.60679,,,
L'ecole Primaire,school,Burkina Faso,BFA,OSM,11.1211,-1.91876,,,
Les Leaders de demain,school,Burkina Faso,BFA,OSM,12.33477,-1.53963,,,
Lycée Taal M'bi,school,Burkina Faso,BFA,OSM,12.24833,-2.38707,,,
Lyceé Technique Maurice Yaméogo,school,Burkina Faso,BFA,OSM,12.26581,-2.39736,,,
institut de formation colbert,school,Burkina Faso,BFA,OSM,12.31728,-1.52512,,,
Grand seminaire de Koumi,school,Burkina Faso,BFA,OSM,11.20292,-4.43449,,,
Ecole Elnadia,school,Burkina Faso,BFA,OSM,12.40191,-1.53755,,,
Ecole Taombila A B,school,Burkina Faso,BFA,OSM,12.40437,-1.53858,,,
Ecole primaire ATA,school,Burkina Faso,BFA,OSM,12.40696,-1.53357,,,
École primaire Pella A,school,Burkina Faso,BFA,OSM,12.58463,-2.03551,,,
Ecole Primaire Toungouena,school,Burkina Faso,BFA,OSM,10.63134,-4.74328,,,
Ecole Primaire Franco-Arabe,school,Burkina Faso,BFA,OSM,10.63909,-4.74905,,,
