Admin1,Admin2,Events,Fatalities
Sahel,Yagha,7,95
Nord,Yatenga,24,81
Boucle du Mouhoun,Mouhoun,3,66
Boucle du Mouhoun,Kossi,9,65
Centre-Est,Boulgou,12,60
Nord,Loroum,2,55
Centre-Est,Koulpelogo,10,47
Sahel,Oudalan,10,44
Est,Gourma,7,44
Est,Gnagna,3,34
Centre-Nord,Sanmatenga,12,28
Est,Kompienga,5,27
Centre-Nord,Namentenga,9,25
Centre-Nord,Bam,7,20
Hauts-Bassins,Tuy,7,18
Sahel,Soum,14,17
Sahel,Seno,8,14
Sud-Ouest,Poni,1,11
Centre-Ouest,Sanguie,8,9
Cascades,Comoe,4,9
Est,Tapoa,3,9
Est,Komandjari,1,8
Boucle du Mouhoun,Nayala,4,6
Nord,Zondoma,3,5
Hauts-Bassins,Houet,1,5
Centre-Ouest,Sissili,1,3
Boucle du Mouhoun,Sourou,2,0
Boucle du Mouhoun,Bale,0,0
Boucle du Mouhoun,Banwa,0,0
Cascades,Leraba,0,0
Centre,Kadiogo,0,0
Centre-Est,Kourittenga,0,0
Centre-Ouest,Boulkiemde,0,0
Centre-Ouest,Ziro,0,0
Centre-Sud,Bazega,0,0
Centre-Sud,Nahouri,0,0
Centre-Sud,Zoundweogo,0,0
Hauts-Bassins,Kenedougou,0,0
Nord,Passore,0,0
Plateau-Central,Ganzourgou,0,0
Plateau-Central,Kourweogo,0,0
Plateau-Central,Oubritenga,0,0
Sud-Ouest,Bougouriba,0,0
Sud-Ouest,Ioba,0,0
Sud-Ouest,Noumbiel,0,0
