Admin1,Admin2,Events,Fatalities
Nord,Yatenga,247,1099
Centre-Est,Koulpelogo,255,1076
Est,Gourma,275,1071
Sahel,Soum,227,1037
Boucle du Mouhoun,Kossi,236,979
Centre-Nord,Sanmatenga,236,958
Est,Tapoa,149,839
Boucle du Mouhoun,Banwa,115,830
Sahel,Seno,215,782
Est,Gnagna,142,669
Sahel,Yagha,50,636
Boucle du Mouhoun,Sourou,121,605
Centre-Nord,Namentenga,145,600
Est,Komandjari,42,521
Est,Kompienga,46,368
Cascades,Comoe,87,347
Nord,Loroum,88,335
Sahel,Oudalan,92,317
Centre-Nord,Bam,109,268
Centre-Est,Boulgou,87,240
Boucle du Mouhoun,Mouhoun,56,216
Boucle du Mouhoun,Nayala,51,156
Hauts-Bassins,Kenedougou,25,102
Sud-Ouest,Poni,35,90
Hauts-Bassins,Tuy,26,62
Hauts-Bassins,Houet,22,49
Nord,Passore,13,37
Centre-Ouest,Sanguie,5,23
Centre-Ouest,Sissili,5,20
Centre-Est,Kourittenga,2,18
Nord,Zondoma,11,6
Sud-Ouest,Bougouriba,4,4
Cascades,Leraba,3,4
Centre-Ouest,Ziro,3,4
Boucle du Mouhoun,Bale,3,3
Plateau-Central,Oubritenga,1,1
Centre,Kadiogo,5,0
Sud-Ouest,Noumbiel,2,0
Centre-Sud,Nahouri,1,0
Centre-Sud,Zoundweogo,1,0
Centre-Ouest,Boulkiemde,0,0
Centre-Sud,Bazega,0,0
Plateau-Central,Ganzourgou,0,0
Plateau-Central,Kourweogo,0,0
Sud-Ouest,Ioba,0,0
